#treeName,Method,logZ
sim--1077759944.msf,SMC4K2P,-35992.761073432644
sim--1214787956.msf,SMC4K2P,-40952.21706923739
sim--130937290.msf,SMC4K2P,-42824.53796298519
sim--1825302504.msf,SMC4K2P,-41663.63030966575
sim--519893856.msf,SMC4K2P,-39764.03117503616
sim--830436964.msf,SMC4K2P,-32995.62092008152
sim-1073347605.msf,SMC4K2P,-41015.371456088586
sim-1567190612.msf,SMC4K2P,-42353.40011457288
sim-1716832057.msf,SMC4K2P,-43242.01093706654
sim-1795143122.msf,SMC4K2P,-38199.60893890989
sim-1797838547.msf,SMC4K2P,-36651.915796312904
sim-1835442223.msf,SMC4K2P,-41466.1103374097
sim-1887969566.msf,SMC4K2P,-39467.43166790008
sim-1949751715.msf,SMC4K2P,-40745.69914897333
sim-2026003539.msf,SMC4K2P,-35539.085998549795
sim-2096462569.msf,SMC4K2P,-39253.282950109744
sim-382540742.msf,SMC4K2P,-34682.39509783474
sim-457072938.msf,SMC4K2P,-35728.161229257115
sim-889487414.msf,SMC4K2P,-35778.960436803965
sim-964320404.msf,SMC4K2P,-35920.266439597675
